trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
1	1	3	FALSE	2	TRUE	switched	1	TRUE	won
2	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
3	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
4	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
5	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
6	1	2	FALSE	3	TRUE	switched	1	TRUE	won
7	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
8	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
9	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
10	3	1	FALSE	2	TRUE	switched	3	TRUE	won
11	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
12	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
13	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
14	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
15	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
16	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
17	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
18	3	2	FALSE	1	TRUE	switched	3	TRUE	won
19	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
20	2	1	FALSE	3	TRUE	switched	2	TRUE	won
21	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
22	2	3	FALSE	1	TRUE	switched	2	TRUE	won
23	3	1	FALSE	2	TRUE	switched	3	TRUE	won
24	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
25	2	1	FALSE	3	TRUE	switched	2	TRUE	won
26	3	1	FALSE	2	TRUE	switched	3	TRUE	won
27	2	3	FALSE	1	TRUE	switched	2	TRUE	won
28	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
29	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
30	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
31	3	2	FALSE	1	TRUE	switched	3	TRUE	won
32	2	3	FALSE	1	TRUE	switched	2	TRUE	won
33	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
34	1	3	FALSE	2	TRUE	switched	1	TRUE	won
35	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
36	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
37	3	1	FALSE	2	TRUE	switched	3	TRUE	won
38	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
39	1	2	FALSE	3	TRUE	switched	1	TRUE	won
40	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
41	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
42	2	3	FALSE	1	TRUE	switched	2	TRUE	won
43	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
44	1	3	FALSE	2	TRUE	switched	1	TRUE	won
45	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
46	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
47	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
48	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
49	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
50	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
51	1	2	FALSE	3	TRUE	switched	1	TRUE	won
52	1	3	FALSE	2	TRUE	switched	1	TRUE	won
53	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
54	1	2	FALSE	3	TRUE	switched	1	TRUE	won
55	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
56	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
57	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
58	1	2	FALSE	3	TRUE	switched	1	TRUE	won
59	3	1	FALSE	2	TRUE	switched	3	TRUE	won
60	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
61	2	1	FALSE	3	TRUE	switched	2	TRUE	won
62	3	1	FALSE	2	TRUE	switched	3	TRUE	won
63	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
64	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
65	2	1	FALSE	3	TRUE	switched	2	TRUE	won
66	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
67	1	3	FALSE	2	TRUE	switched	1	TRUE	won
68	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
69	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
70	3	1	FALSE	2	TRUE	switched	3	TRUE	won
71	1	2	FALSE	3	TRUE	switched	1	TRUE	won
72	2	1	FALSE	3	TRUE	switched	2	TRUE	won
73	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
74	3	1	FALSE	2	TRUE	switched	3	TRUE	won
75	3	2	FALSE	1	TRUE	switched	3	TRUE	won
76	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
77	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
78	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
79	1	2	FALSE	3	TRUE	switched	1	TRUE	won
80	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
81	3	2	FALSE	1	TRUE	switched	3	TRUE	won
82	3	1	FALSE	2	TRUE	switched	3	TRUE	won
83	1	2	FALSE	3	TRUE	switched	1	TRUE	won
84	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
85	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
86	2	1	FALSE	3	TRUE	switched	2	TRUE	won
87	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
88	1	2	FALSE	3	TRUE	switched	1	TRUE	won
89	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
90	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
91	2	1	FALSE	3	TRUE	switched	2	TRUE	won
92	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
93	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
94	3	2	FALSE	1	TRUE	switched	3	TRUE	won
95	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
96	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
97	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
98	2	1	FALSE	3	TRUE	switched	2	TRUE	won
99	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
100	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
101	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
102	3	1	FALSE	2	TRUE	switched	3	TRUE	won
103	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
104	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
105	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
106	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
107	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
108	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
109	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
110	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
111	1	3	FALSE	2	TRUE	switched	1	TRUE	won
112	2	1	FALSE	3	TRUE	switched	2	TRUE	won
113	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
114	1	3	FALSE	2	TRUE	switched	1	TRUE	won
115	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
116	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
117	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
118	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
119	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
120	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
121	2	1	FALSE	3	TRUE	switched	2	TRUE	won
122	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
123	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
124	2	3	FALSE	1	TRUE	switched	2	TRUE	won
125	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
126	3	2	FALSE	1	TRUE	switched	3	TRUE	won
127	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
128	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
129	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
130	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
131	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
132	2	3	FALSE	1	TRUE	switched	2	TRUE	won
133	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
134	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
135	1	2	FALSE	3	TRUE	switched	1	TRUE	won
136	3	1	FALSE	2	TRUE	switched	3	TRUE	won
137	2	3	FALSE	1	TRUE	switched	2	TRUE	won
138	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
139	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
140	1	2	FALSE	3	TRUE	switched	1	TRUE	won
141	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
142	3	2	FALSE	1	TRUE	switched	3	TRUE	won
143	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
144	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
145	1	3	FALSE	2	TRUE	switched	1	TRUE	won
146	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
147	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
148	3	2	FALSE	1	TRUE	switched	3	TRUE	won
149	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
150	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
151	3	1	FALSE	2	TRUE	switched	3	TRUE	won
152	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
153	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
154	3	2	FALSE	1	TRUE	switched	3	TRUE	won
155	3	1	FALSE	2	TRUE	switched	3	TRUE	won
156	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
157	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
158	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
159	1	3	FALSE	2	TRUE	switched	1	TRUE	won
160	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
161	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
162	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
163	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
164	2	1	FALSE	3	TRUE	switched	2	TRUE	won
165	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
166	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
167	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
168	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
169	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
170	3	2	FALSE	1	TRUE	switched	3	TRUE	won
171	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
172	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
173	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
174	2	1	FALSE	3	TRUE	switched	2	TRUE	won
175	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
176	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
177	3	2	FALSE	1	TRUE	switched	3	TRUE	won
178	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
179	2	1	FALSE	3	TRUE	switched	2	TRUE	won
180	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
181	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
182	3	2	FALSE	1	TRUE	switched	3	TRUE	won
183	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
184	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
185	1	2	FALSE	3	TRUE	switched	1	TRUE	won
186	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
187	1	2	FALSE	3	TRUE	switched	1	TRUE	won
188	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
189	1	3	FALSE	2	TRUE	switched	1	TRUE	won
190	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
191	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
192	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
193	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
194	3	2	FALSE	1	TRUE	switched	3	TRUE	won
195	3	1	FALSE	2	TRUE	switched	3	TRUE	won
196	1	2	FALSE	3	TRUE	switched	1	TRUE	won
197	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
198	2	1	FALSE	3	TRUE	switched	2	TRUE	won
199	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
200	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
201	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
202	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
203	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
204	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
205	2	1	FALSE	3	TRUE	switched	2	TRUE	won
206	1	3	FALSE	2	TRUE	switched	1	TRUE	won
207	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
208	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
209	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
210	3	2	FALSE	1	TRUE	switched	3	TRUE	won
211	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
212	1	3	FALSE	2	TRUE	switched	1	TRUE	won
213	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
214	3	1	FALSE	2	TRUE	switched	3	TRUE	won
215	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
216	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
217	1	2	FALSE	3	TRUE	switched	1	TRUE	won
218	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
219	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
220	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
221	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
222	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
223	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
224	3	2	FALSE	1	TRUE	switched	3	TRUE	won
225	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
226	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
227	3	2	FALSE	1	TRUE	switched	3	TRUE	won
228	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
229	2	1	FALSE	3	TRUE	switched	2	TRUE	won
230	1	3	FALSE	2	TRUE	switched	1	TRUE	won
231	3	2	FALSE	1	TRUE	switched	3	TRUE	won
232	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
233	1	2	FALSE	3	TRUE	switched	1	TRUE	won
234	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
235	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
236	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
237	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
238	1	2	FALSE	3	TRUE	switched	1	TRUE	won
239	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
240	2	1	FALSE	3	TRUE	switched	2	TRUE	won
241	2	3	FALSE	1	TRUE	switched	2	TRUE	won
242	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
243	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
244	1	3	FALSE	2	TRUE	switched	1	TRUE	won
245	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
246	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
247	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
248	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
249	1	3	FALSE	2	TRUE	switched	1	TRUE	won
250	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
251	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
252	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
253	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
254	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
255	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
256	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
257	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
258	2	3	FALSE	1	TRUE	switched	2	TRUE	won
259	2	3	FALSE	1	TRUE	switched	2	TRUE	won
260	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
261	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
262	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
263	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
264	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
265	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
266	1	2	FALSE	3	TRUE	switched	1	TRUE	won
267	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
268	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
269	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
270	3	2	FALSE	1	TRUE	switched	3	TRUE	won
271	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
272	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
273	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
274	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
275	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
276	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
277	3	2	FALSE	1	TRUE	switched	3	TRUE	won
278	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
279	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
280	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
281	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
