trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
1	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
2	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
3	2	1	FALSE	3	TRUE	switched	2	TRUE	won
4	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
5	1	2	FALSE	3	TRUE	switched	1	TRUE	won
6	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
7	3	2	FALSE	1	TRUE	switched	3	TRUE	won
8	1	3	FALSE	2	TRUE	switched	1	TRUE	won
9	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
10	3	1	FALSE	2	TRUE	switched	3	TRUE	won
11	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
12	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
13	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
14	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
15	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
16	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
17	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
18	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
19	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
20	2	1	FALSE	3	TRUE	switched	2	TRUE	won
21	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
22	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
23	2	3	FALSE	1	TRUE	switched	2	TRUE	won
24	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
25	1	2	FALSE	3	TRUE	switched	1	TRUE	won
26	3	2	FALSE	1	TRUE	switched	3	TRUE	won
27	2	1	FALSE	3	TRUE	switched	2	TRUE	won
28	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
29	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
30	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
31	1	2	FALSE	3	TRUE	switched	1	TRUE	won
32	3	2	FALSE	1	TRUE	switched	3	TRUE	won
33	3	2	FALSE	1	TRUE	switched	3	TRUE	won
34	2	1	FALSE	3	TRUE	switched	2	TRUE	won
35	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
36	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
37	1	3	FALSE	2	TRUE	switched	1	TRUE	won
38	3	1	FALSE	2	TRUE	switched	3	TRUE	won
39	1	2	FALSE	3	TRUE	switched	1	TRUE	won
40	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
41	3	2	FALSE	1	TRUE	switched	3	TRUE	won
42	3	2	FALSE	1	TRUE	switched	3	TRUE	won
43	3	2	FALSE	1	TRUE	switched	3	TRUE	won
44	1	2	FALSE	3	TRUE	switched	1	TRUE	won
45	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
46	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
47	1	2	FALSE	3	TRUE	switched	1	TRUE	won
48	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
49	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
50	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
51	3	1	FALSE	2	TRUE	switched	3	TRUE	won
52	2	1	FALSE	3	TRUE	switched	2	TRUE	won
53	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
54	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
55	3	1	FALSE	2	TRUE	switched	3	TRUE	won
56	2	3	FALSE	1	TRUE	switched	2	TRUE	won
57	2	3	FALSE	1	TRUE	switched	2	TRUE	won
58	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
59	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
60	2	1	FALSE	3	TRUE	switched	2	TRUE	won
61	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
62	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
63	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
64	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
65	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
66	2	1	FALSE	3	TRUE	switched	2	TRUE	won
67	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
68	3	2	FALSE	1	TRUE	switched	3	TRUE	won
69	2	3	FALSE	1	TRUE	switched	2	TRUE	won
70	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
71	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
72	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
73	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
74	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
75	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
76	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
77	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
78	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
79	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
80	1	2	FALSE	3	TRUE	switched	1	TRUE	won
81	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
82	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
83	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
84	3	1	FALSE	2	TRUE	switched	3	TRUE	won
85	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
86	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
87	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
88	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
89	3	1	FALSE	2	TRUE	switched	3	TRUE	won
90	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
91	3	2	FALSE	1	TRUE	switched	3	TRUE	won
92	2	3	FALSE	1	TRUE	switched	2	TRUE	won
93	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
94	2	3	FALSE	1	TRUE	switched	2	TRUE	won
95	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
96	1	3	FALSE	2	TRUE	switched	1	TRUE	won
97	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
98	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
99	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
100	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
101	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
102	3	2	FALSE	1	TRUE	switched	3	TRUE	won
103	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
104	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
105	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
106	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
107	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
108	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
109	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
110	3	1	FALSE	2	TRUE	switched	3	TRUE	won
111	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
112	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
113	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
114	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
115	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
116	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
117	3	2	FALSE	1	TRUE	switched	3	TRUE	won
118	3	2	FALSE	1	TRUE	switched	3	TRUE	won
119	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
120	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
121	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
122	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
123	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
124	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
125	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
126	3	2	FALSE	1	TRUE	switched	3	TRUE	won
127	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
128	1	2	FALSE	3	TRUE	switched	1	TRUE	won
129	3	2	FALSE	1	TRUE	switched	3	TRUE	won
130	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
131	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
132	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
133	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
134	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
135	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
136	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
137	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
138	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
139	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
140	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
141	1	3	FALSE	2	TRUE	switched	1	TRUE	won
142	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
143	1	3	FALSE	2	TRUE	switched	1	TRUE	won
144	3	1	FALSE	2	TRUE	switched	3	TRUE	won
145	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
146	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
147	3	2	FALSE	1	TRUE	switched	3	TRUE	won
148	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
149	2	1	FALSE	3	TRUE	switched	2	TRUE	won
150	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
151	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
152	2	3	FALSE	1	TRUE	switched	2	TRUE	won
153	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
154	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
155	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
156	1	2	FALSE	3	TRUE	switched	1	TRUE	won
157	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
158	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
159	2	1	FALSE	3	TRUE	switched	2	TRUE	won
160	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
161	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
162	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
163	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
164	2	3	FALSE	1	TRUE	switched	2	TRUE	won
165	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
166	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
167	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
